Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-02-24,15:20:00,188.5,188.6,188.5,188.6,72,0
2017-02-24,15:25:00,188.6,191.25,188.6,191,631,0
2017-02-24,15:30:00,191,191,191,191,6,0
2017-02-24,15:35:00,190.5,190.5,190.05,190.05,128,0
2017-02-24,15:40:00,188.75,188.75,188.75,188.75,20,0
2017-02-24,15:45:00,189.95,189.95,189.95,189.95,12,0
2017-02-24,15:50:00,190,191,190,191,472,0
2017-02-24,15:55:00,191,191,190,190,246,0
2017-02-24,16:00:00,190,191,190,191,228,0
2017-02-24,16:05:00,191,191,191,191,107,0
2017-02-24,16:10:00,191,191.15,191,191,220,0
2017-02-24,16:25:00,191,191.5,191,191.5,67,0
2017-02-24,16:30:00,191.4,192,191.4,192,187,0
2017-02-24,16:35:00,192,192,192,192,11,0
2017-02-24,16:40:00,192.3,192.5,192.3,192.3,95,0
2017-02-24,16:45:00,192.3,192.3,191,191,99,0
2017-02-24,16:50:00,191.5,191.5,190,190,361,0
2017-02-27,09:05:00,190,192.95,190,192.95,273,0
2017-02-27,09:10:00,193.1,193.1,192,192,241,0
2017-02-27,09:15:00,192.05,193.8,192,193.8,65,0
2017-02-27,09:20:00,193.75,193.8,192,193.75,205,0
2017-02-27,09:25:00,193.75,193.75,192.15,192.2,51,0
2017-02-27,09:30:00,192.15,193.5,192,193.5,332,0
2017-02-27,09:35:00,193.5,193.8,193.5,193.5,216,0
2017-02-27,09:40:00,193.8,193.8,193.8,193.8,30,0
2017-02-27,09:45:00,193.5,193.5,193.5,193.5,25,0
2017-02-27,09:50:00,193.8,194,193.8,194,63,0
2017-02-27,09:55:00,194,194,192,194,332,0
2017-02-27,10:00:00,193.8,193.8,192.05,192.15,104,0
2017-02-27,10:25:00,193.7,193.7,193.7,193.7,49,0
2017-02-27,10:30:00,193.8,193.8,193.8,193.8,19,0
2017-02-27,10:35:00,193.95,194,193.7,193.7,41,0
2017-02-27,10:50:00,193.6,193.7,193.6,193.7,31,0
2017-02-27,11:10:00,193.7,193.7,193.7,193.7,7,0
2017-02-27,11:15:00,193.7,193.7,193.7,193.7,51,0
2017-02-27,11:20:00,193.6,193.7,193.6,193.7,257,0
2017-02-27,11:25:00,193.5,193.5,193.5,193.5,250,0
2017-02-27,11:30:00,193.65,193.7,193.65,193.7,57,0
2017-02-27,11:35:00,193.7,193.7,193.7,193.7,74,0
2017-02-27,11:45:00,193.5,193.5,193.5,193.5,7,0
2017-02-27,11:50:00,193,193,193,193,3,0
2017-02-27,11:55:00,193,193,193,193,51,0
2017-02-27,12:05:00,193,193,193,193,50,0
2017-02-27,12:10:00,192.75,193,192.65,193,105,0
2017-02-27,12:20:00,192.65,192.65,192.5,192.5,70,0
2017-02-27,12:25:00,192.5,192.5,192.5,192.5,6,0
2017-02-27,12:30:00,192.9,192.9,192.9,192.9,20,0
2017-02-27,12:35:00,192.8,192.95,192.8,192.95,26,0
2017-02-27,12:40:00,192.5,192.5,192.2,192.2,40,0
2017-02-27,12:45:00,192.15,192.15,192,192,1960,0
2017-02-27,12:50:00,192,192.3,192,192,107,0
2017-02-27,12:55:00,191.9,191.95,191.9,191.95,25,0
2017-02-27,13:00:00,191.9,191.9,191.9,191.9,12,0
2017-02-27,13:05:00,191.5,191.5,191.5,191.5,62,0
2017-02-27,13:10:00,191.5,191.5,191.5,191.5,74,0
2017-02-27,13:20:00,191.4,191.4,191.35,191.35,62,0
2017-02-27,13:25:00,191.3,191.3,191.05,191.05,152,0
2017-02-27,13:30:00,191,191.05,191,191.05,229,0
2017-02-27,13:35:00,191.05,191.05,191.05,191.05,40,0
2017-02-27,13:50:00,191.05,191.05,191,191,138,0
2017-02-27,14:00:00,191.1,191.1,191.05,191.05,142,0
2017-02-27,14:05:00,191.1,191.1,191.1,191.1,30,0
2017-02-27,14:10:00,191.1,191.1,191.1,191.1,30,0
2017-02-27,14:20:00,191.1,191.1,191.1,191.1,400,0
2017-02-27,14:25:00,191.1,192.85,191.1,192.85,134,0
2017-02-27,14:30:00,192.85,193.45,192.85,193.45,391,0
2017-02-27,14:45:00,193.5,193.5,193.5,193.5,10,0
2017-02-27,14:55:00,191.5,192,191.3,192,76,0
2017-02-27,15:00:00,193.45,193.45,193.45,193.45,1,0
2017-02-27,15:05:00,193.45,193.5,193.45,193.5,43,0
2017-02-27,15:10:00,193.45,193.7,193.45,193.7,236,0
2017-02-27,15:20:00,193.65,193.7,193.65,193.7,368,0
2017-02-27,15:25:00,193.6,193.6,193.6,193.6,40,0
2017-02-27,15:35:00,193.5,193.5,193.5,193.5,58,0
2017-02-27,15:50:00,193.5,193.5,193.5,193.5,8,0
2017-02-27,16:00:00,192.65,192.65,191.4,191.4,67,0
2017-02-27,16:10:00,192.2,192.2,192.2,192.2,57,0
2017-02-27,16:20:00,193.25,193.3,193,193.3,108,0
2017-02-27,16:30:00,193.3,193.3,193.3,193.3,359,0
2017-02-27,16:40:00,193.6,193.6,193.25,193.45,70,0
2017-02-27,16:45:00,193.65,193.65,193,193,99,0
2017-02-27,16:50:00,193.05,193.6,191,191,1026,0
2017-02-28,09:05:00,193.95,193.95,193.9,193.95,343,0
2017-02-28,09:10:00,193.95,193.95,193.9,193.9,127,0
2017-02-28,09:20:00,192.05,192.05,192.05,192.05,100,0
2017-02-28,09:30:00,192.25,193.65,192.25,193.65,107,0
2017-02-28,09:35:00,193,193.6,193,193.6,10,0
2017-02-28,09:40:00,193.4,193.4,193.4,193.4,2,0
2017-02-28,09:45:00,193.7,193.7,193.5,193.5,13,0
2017-02-28,09:50:00,193,193,193,193,5,0
2017-02-28,09:55:00,193.05,193.05,193,193,15,0
2017-02-28,10:00:00,193.4,193.4,193,193,305,0
2017-02-28,10:05:00,192.25,192.25,192.25,192.25,22,0
2017-02-28,10:10:00,192.3,193.55,192.3,193.55,3069,0
2017-02-28,10:15:00,193.6,193.6,193.6,193.6,31,0
2017-02-28,10:20:00,193.25,193.55,193.25,193.4,220,0
2017-02-28,10:25:00,192.25,192.25,192.25,192.25,11,0
2017-02-28,10:45:00,192.5,192.5,192.5,192.5,2,0
2017-02-28,10:50:00,193,193,192.5,192.5,38,0
2017-02-28,10:55:00,192.25,192.25,192.25,192.25,26,0
2017-02-28,11:30:00,192.25,192.25,192.25,192.25,170,0
2017-02-28,11:35:00,193.35,193.35,193.35,193.35,5,0
2017-02-28,11:55:00,193.3,193.3,193.3,193.3,10,0
2017-02-28,12:00:00,192.25,192.25,192.25,192.25,11,0
2017-02-28,12:05:00,192.25,192.25,192.2,192.2,38,0
2017-02-28,12:10:00,192,192,192,192,218,0
2017-02-28,12:15:00,192,192,192,192,109,0
2017-02-28,12:20:00,192,192,192,192,388,0
2017-02-28,12:25:00,191.4,191.4,191.3,191.3,99,0
2017-02-28,12:30:00,191.2,191.2,191,191,577,0
2017-02-28,12:35:00,190.5,191,190.2,190.2,120,0
2017-02-28,12:40:00,190.25,190.25,190,190,280,0
2017-02-28,12:45:00,190.15,190.15,190,190,55,0
2017-02-28,12:50:00,190.15,190.15,190,190,48,0
2017-02-28,13:00:00,189.1,189.25,188,188.45,169,0
2017-02-28,13:05:00,188.45,188.45,188.05,188.05,127,0
2017-02-28,13:10:00,188,188,188,188,98,0
2017-02-28,13:15:00,187.7,188,187.6,188,175,0
2017-02-28,13:20:00,188,188,187.1,187.1,128,0
2017-02-28,13:30:00,188.8,189,188.8,189,10,0
2017-02-28,13:35:00,189,189.3,189,189.3,75,0
2017-02-28,13:40:00,189.3,189.3,189,189,90,0
2017-02-28,13:50:00,189.3,189.3,189.3,189.3,51,0
2017-02-28,14:05:00,189,189,189,189,132,0
2017-02-28,14:10:00,189.35,189.35,189.35,189.35,12,0
2017-02-28,14:20:00,189.35,189.35,189.35,189.35,12,0
2017-02-28,14:30:00,189.1,189.1,189.1,189.1,1,0
2017-02-28,14:35:00,189.1,189.1,189.1,189.1,34,0
2017-02-28,14:40:00,189.45,189.45,189.45,189.45,2,0
2017-02-28,14:45:00,189.3,189.3,189.3,189.3,5,0
2017-02-28,14:50:00,189.45,189.45,189.45,189.45,20,0
2017-02-28,14:55:00,189.45,189.5,189.45,189.5,19,0
2017-02-28,15:00:00,189.1,189.1,189,189,15,0
